"id",categorie,sous-categorie,activite,naf
"34","Agiculture, sylviculture et pêche","Sylviculture et exploitation forestière","Récolte de produits forestiers non ligneux poussant à l'état sauvage","02.30Z"
"35","Agiculture, sylviculture et pêche","Sylviculture et exploitation forestière","Services de soutien à l'exploitation forestière","02.40Z"
"36","Agiculture, sylviculture et pêche","Pêche et aquaculture","Pêche en mer","03.11Z"
"37","Agiculture, sylviculture et pêche","Pêche et aquaculture","Pêche en eau douce","03.12Z"
"38","Agiculture, sylviculture et pêche","Pêche et aquaculture","Aquaculture en mer","03.21Z"
"39","Agiculture, sylviculture et pêche","Pêche et aquaculture","Aquaculture en eau douce","03.22Z"
"40","Industries extractives","Extraction de houille et de lignite","Extraction de houille","05.10Z"
"41","Industries extractives","Extraction de houille et de lignite","Extraction de lignite","05.20Z"
"42","Industries extractives","Extraction d'hydrocarbures","Extraction de pétrole brut","06.10Z"
"43","Industries extractives","Extraction d'hydrocarbures","Extraction de gaz naturel","06.20Z"
"44","Industries extractives","Extraction de minerais métalliques","Extraction de minerais de fer","07.10Z"
"45","Industries extractives","Extraction de minerais métalliques","Extraction de minerais d'uranium et de thorium","07.21Z"
"46","Industries extractives","Extraction de minerais métalliques","Extraction d'autres minerais de métaux non ferreux","07.29Z"
"47","Industries extractives","Autres industries extractives","Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise","08.11Z"
"48","Industries extractives","Autres industries extractives","Exploitation de gravières et sablières, extraction d’argiles et de kaolin","08.12Z"
"49","Industries extractives","Autres industries extractives","Extraction des minéraux chimiques et d'engrais minéraux ","08.91Z"
"50","Industries extractives","Autres industries extractives","Extraction de tourbe","08.92Z"
"51","Industries extractives","Autres industries extractives","Production de sel ","08.93Z"
"52","Industries extractives","Autres industries extractives","Autres activités extractives n.c.a.","08.99Z"
"53","Industries extractives","Services de soutien aux industrie extractives","Activités de soutien à l'extraction d'hydrocarbures","09.10Z"
"54","Industries extractives","Services de soutien aux industrie extractives","Activités de soutien aux autres industries extractives ","09.90Z"
"55","Industrie manufacturières","Industries alimentaires","Transformation et conservation de la viande de boucherie","10.11Z"
"56","Industrie manufacturières","Industries alimentaires","Transformation et conservation de la viande de volaille","10.12Z"
"57","Industrie manufacturières","Industries alimentaires","Préparation industrielle de produits à base de viande","10.13A"
"58","Industrie manufacturières","Industries alimentaires","Charcuterie","10.13B"
"59","Industrie manufacturières","Industries alimentaires","Transformation et conservation de poisson, de crustacés et de mollusques","10.20Z"
"60","Industrie manufacturières","Industries alimentaires","Transformation et conservation de pommes de terre","10.31Z"
"61","Industrie manufacturières","Industries alimentaires","Préparation de jus de fruits et légumes","10.32Z"
"62","Industrie manufacturières","Industries alimentaires","Autre transformation et conservation de légumes","10.39A"
"63","Industrie manufacturières","Industries alimentaires","Transformation et conservation de fruits","10.39B"
"64","Industrie manufacturières","Industries alimentaires","Fabrication d'huiles et graisses brutes","10.41A"
"65","Industrie manufacturières","Industries alimentaires","Fabrication d'huiles et graisses raffinées","10.41B"
"66","Industrie manufacturières","Industries alimentaires","Fabrication de margarine et graisses comestibles similaires","10.42Z"
"67","Industrie manufacturières","Industries alimentaires","Fabrication de lait liquide et de produits frais","10.51A"
"68","Industrie manufacturières","Industries alimentaires","Fabrication de beurre","10.51B"
"69","Industrie manufacturières","Industries alimentaires","Fabrication de fromage","10.51C"
"70","Industrie manufacturières","Industries alimentaires","Fabrication d'autres produits laitiers","10.51D"
"71","Industrie manufacturières","Industries alimentaires","Fabrication de glaces et sorbets","10.52Z"
"72","Industrie manufacturières","Industries alimentaires","Meunerie","10.61A"
"73","Industrie manufacturières","Industries alimentaires","Autres activités du travail des grains","10.61B"
"74","Industrie manufacturières","Industries alimentaires","Fabrication de produits amylacés","10.62Z"
"75","Industrie manufacturières","Industries alimentaires","Fabrication industrielle de pain et de pâtisserie fraîche","10.71A"
"76","Industrie manufacturières","Industries alimentaires","Cuisson de produits de boulangerie","10.71B"
"77","Industrie manufacturières","Industries alimentaires","Boulangerie et boulangerie-pâtisserie","10.71C"
"78","Industrie manufacturières","Industries alimentaires","Pâtisserie","10.71D"
"79","Industrie manufacturières","Industries alimentaires","Fabrication de biscuits, biscottes et pâtisseries de conservation","10.72Z"
"80","Industrie manufacturières","Industries alimentaires","Fabrication de pâtes alimentaires","10.73Z"
"81","Industrie manufacturières","Industries alimentaires","Fabrication de sucre","10.81Z"
"82","Industrie manufacturières","Industries alimentaires","Fabrication de cacao, chocolat et de produits de confiserie","10.82Z"
"83","Industrie manufacturières","Industries alimentaires","Transformation du thé et du café","10.83Z"
"84","Industrie manufacturières","Industries alimentaires","Fabrication de condiments et assaisonnements","10.84Z"
"85","Industrie manufacturières","Industries alimentaires","Fabrication de plats préparés","10.85Z"
"86","Industrie manufacturières","Industries alimentaires","Fabrication d'aliments homogénéisés et diététiques","10.86Z"
"87","Industrie manufacturières","Industries alimentaires","Fabrication d'autres produits alimentaires n.c.a.","10.89Z"
"88","Industrie manufacturières","Industries alimentaires","Fabrication d'aliments pour animaux de ferme","10.91Z"
"89","Industrie manufacturières","Industries alimentaires","Fabrication d'aliments pour animaux de compagnie","10.92Z"
"90","Industrie manufacturières","Fabrication de boissons","Production de boissons alcooliques distillées","11.01Z"
"91","Industrie manufacturières","Fabrication de boissons","Fabrication de vins effervescents","11.02A"
"92","Industrie manufacturières","Fabrication de boissons","Vinification","11.02B"
"93","Industrie manufacturières","Fabrication de boissons","Fabrication de cidre et de vins de fruits ","11.03Z"
"94","Industrie manufacturières","Fabrication de boissons","Production d'autres boissons fermentées non distillées","11.04Z"
"95","Industrie manufacturières","Fabrication de boissons","Fabrication de bière","11.05Z"
"96","Industrie manufacturières","Fabrication de boissons","Fabrication de malt","11.06Z"
"97","Industrie manufacturières","Fabrication de boissons","Industrie des eaux de table","11.07A"
"98","Industrie manufacturières","Fabrication de boissons","Production de boissons rafraîchissantes","11.07B"
"99","Industrie manufacturières","Fabrication de produits à base de tabac","Fabrication de produits à base de tabac","12.00Z"
"100","Industrie manufacturières","Fabrication de textiles","Préparation de fibres textiles et filature","13.10Z"
"101","Industrie manufacturières","Fabrication de textiles","Tissage","13.20Z"
"102","Industrie manufacturières","Fabrication de textiles","Ennoblissement textile","13.30Z"
"103","Industrie manufacturières","Fabrication de textiles","Fabrication d'étoffes à mailles","13.91Z"
"104","Industrie manufacturières","Fabrication de textiles","Fabrication d'articles textiles, sauf habillement","13.92Z"
"105","Industrie manufacturières","Fabrication de textiles","Fabrication de tapis et moquettes","13.93Z"
"106","Industrie manufacturières","Fabrication de textiles","Fabrication de ficelles, cordes et filets","13.94Z"
"107","Industrie manufacturières","Fabrication de textiles","Fabrication de non-tissés, sauf habillement","13.95Z"
"108","Industrie manufacturières","Fabrication de textiles","Fabrication d'autres textiles techniques et industriels","13.96Z"
"109","Industrie manufacturières","Fabrication de textiles","Fabrication d'autres textiles n.c.a.","13.99Z"
"110","Industrie manufacturières","Industrie de l'habillement","Fabrication de vêtements en cuir","14.11Z"
"111","Industrie manufacturières","Industrie de l'habillement","Fabrication de vêtements de travail","14.12Z"
"112","Industrie manufacturières","Industrie de l'habillement","Fabrication de vêtements de dessus","14.13Z"
"113","Industrie manufacturières","Industrie de l'habillement","Fabrication de vêtements de dessous","14.14Z"
"114","Industrie manufacturières","Industrie de l'habillement","Fabrication d'autres vêtements et accessoires","14.19Z"
"115","Industrie manufacturières","Industrie de l'habillement","Fabrication d'articles en fourrure","14.20Z"
"116","Industrie manufacturières","Industrie de l'habillement","Fabrication d'articles chaussants à mailles","14.31Z"
"117","Industrie manufacturières","Industrie de l'habillement","Fabrication d'autres articles à mailles","14.39Z"
"118","Industrie manufacturières","Industrie du cuir et de la chaussure","Apprêt et tannage des cuirs ; Préparation et teinture des fourrures","15.11Z"
"119","Industrie manufacturières","Industrie du cuir et de la chaussure","Fabrication d'articles de voyage, de maroquinerie et de sellerie","15.12Z"
"120","Industrie manufacturières","Industrie du cuir et de la chaussure","Fabrication de chaussures","15.20Z"
"121","Industrie manufacturières","Travail du bois et fabrication d'articles en bois et en liège, à l'exeption des meubles ; Fabrication d'articles en vannerie et sparterie","Sciage et rabotage du bois, hors imprégnation","16.10A"
"122","Industrie manufacturières","Travail du bois et fabrication d'articles en bois et en liège, à l'exeption des meubles ; Fabrication d'articles en vannerie et sparterie","Imprégnation du bois","16.10B"
"123","Industrie manufacturières","Travail du bois et fabrication d'articles en bois et en liège, à l'exeption des meubles ; Fabrication d'articles en vannerie et sparterie","Fabrication de placage et de panneaux de bois","16.21Z"
"124","Industrie manufacturières","Travail du bois et fabrication d'articles en bois et en liège, à l'exeption des meubles ; Fabrication d'articles en vannerie et sparterie","Fabrication de parquets assemblés","16.22Z"
"125","Industrie manufacturières","Travail du bois et fabrication d'articles en bois et en liège, à l'exeption des meubles ; Fabrication d'articles en vannerie et sparterie","Fabrication de charpentes et d'autres menuiseries","16.23Z"
"126","Industrie manufacturières","Travail du bois et fabrication d'articles en bois et en liège, à l'exeption des meubles ; Fabrication d'articles en vannerie et sparterie","Fabrication d'emballages en bois","16.24Z"
"127","Industrie manufacturières","Travail du bois et fabrication d'articles en bois et en liège, à l'exeption des meubles ; Fabrication d'articles en vannerie et sparterie","Fabrication d'objets divers en bois ; Fabrication d'objets en liège, vannerie et sparterie","16.29Z"
"128","Industrie manufacturières","Industrie du papier et du carton","Fabrication de pâte à papier","17.11Z"
"129","Industrie manufacturières","Industrie du papier et du carton","Fabrication de papier et de carton","17.12Z"
"130","Industrie manufacturières","Industrie du papier et du carton","Fabrication de carton ondulé","17.21A"
"131","Industrie manufacturières","Industrie du papier et du carton","Fabrication de cartonnages ","17.21B"
"132","Industrie manufacturières","Industrie du papier et du carton","Fabrication d'emballages en papier","17.21C"
"133","Industrie manufacturières","Industrie du papier et du carton","Fabrication d'articles en papier à usage sanitaire ou domestique","17.22Z"
"134","Industrie manufacturières","Industrie du papier et du carton","Fabrication d'articles de papeterie","17.23Z"
"135","Industrie manufacturières","Industrie du papier et du carton","Fabrication de papiers peints","17.24Z"
"136","Industrie manufacturières","Industrie du papier et du carton","Fabrication d'autres articles en papier ou en carton","17.29Z"
"137","Industrie manufacturières","Imprimerie et reproduction d'enregistrements","Imprimerie de journaux","18.11Z"
"138","Industrie manufacturières","Imprimerie et reproduction d'enregistrements","Autre imprimerie (labeur)","18.12Z"
"139","Industrie manufacturières","Imprimerie et reproduction d'enregistrements","Activités de pré-presse ","18.13Z"
"140","Industrie manufacturières","Imprimerie et reproduction d'enregistrements","Reliure et activités connexes","18.14Z"
"141","Industrie manufacturières","Imprimerie et reproduction d'enregistrements","Reproduction d'enregistrements","18.20Z"
"142","Industrie manufacturières","Cokéfaction et raffinage","Cokéfaction","19.10Z"
"143","Industrie manufacturières","Cokéfaction et raffinage","Raffinage du pétrole","19.20Z"
"144","Industrie manufacturières","Industrie chimique","Fabrication de gaz industriels","20.11Z"
"145","Industrie manufacturières","Industrie chimique","Fabrication de colorants et de pigments","20.12Z"
"146","Industrie manufacturières","Industrie chimique","Enrichissement et  retraitement de matières nucléaires","20.13A"
"147","Industrie manufacturières","Industrie chimique","Fabrication d'autres produits chimiques inorganiques de base n.c.a.","20.13B"
"148","Industrie manufacturières","Industrie chimique","Fabrication d'autres produits chimiques organiques de base","20.14Z"
"149","Industrie manufacturières","Industrie chimique","Fabrication de produits azotés et d'engrais","20.15Z"
"150","Industrie manufacturières","Industrie chimique","Fabrication de matières plastiques de base","20.16Z"
"151","Industrie manufacturières","Industrie chimique","Fabrication de caoutchouc synthétique","20.17Z"
"152","Industrie manufacturières","Industrie chimique","Fabrication de pesticides et d’autres produits agrochimiques","20.20Z"
"153","Industrie manufacturières","Industrie chimique","Fabrication de peintures, vernis, encres et mastics","20.30Z"
"154","Industrie manufacturières","Industrie chimique","Fabrication de savons, détergents et produits d'entretien","20.41Z"
"155","Industrie manufacturières","Industrie chimique","Fabrication de parfums et de produits pour la toilette","20.42Z"
"156","Industrie manufacturières","Industrie chimique","Fabrication de produits explosifs","20.51Z"
"157","Industrie manufacturières","Industrie chimique","Fabrication de colles","20.52Z"
"158","Industrie manufacturières","Industrie chimique","Fabrication d'huiles essentielles","20.53Z"
"159","Industrie manufacturières","Industrie chimique","Fabrication d'autres produits chimiques n.c.a.","20.59Z"
"160","Industrie manufacturières","Industrie chimique","Fabrication de fibres artificielles ou synthétiques","20.60Z"
"161","Industrie manufacturières","Industrie pharmaceutique","Fabrication de produits pharmaceutiques de base","21.10Z"
"162","Industrie manufacturières","Industrie pharmaceutique","Fabrication de préparations pharmaceutiques","21.20Z"
"163","Industrie manufacturières","Fabrication de produit en caoutchouc et en plastique","Fabrication et rechapage de pneumatiques","22.11Z"
"164","Industrie manufacturières","Fabrication de produit en caoutchouc et en plastique","Fabrication d'autres articles en caoutchouc","22.19Z"
"165","Industrie manufacturières","Fabrication de produit en caoutchouc et en plastique","Fabrication de plaques, feuilles, tubes et profilés en matières plastiques","22.21Z"
"166","Industrie manufacturières","Fabrication de produit en caoutchouc et en plastique","Fabrication d'emballages en matières plastiques","22.22Z"
"167","Industrie manufacturières","Fabrication de produit en caoutchouc et en plastique","Fabrication d'éléments en matières plastiques pour la construction","22.23Z"
"168","Industrie manufacturières","Fabrication de produit en caoutchouc et en plastique","Fabrication de pièces techniques à base de matières plastiques","22.29A"
"169","Industrie manufacturières","Fabrication de produit en caoutchouc et en plastique","Fabrication de produits de consommation courante en matières plastiques","22.29B"
"170","Industrie manufacturières","Fabrication d'autres produits minéraux non métalliques","Fabrication de verre plat","23.11Z"
"171","Industrie manufacturières","Fabrication d'autres produits minéraux non métalliques","Façonnage et transformation du verre plat","23.12Z"
"172","Industrie manufacturières","Fabrication d'autres produits minéraux non métalliques","Fabrication de verre creux","23.13Z"
"173","Industrie manufacturières","Fabrication d'autres produits minéraux non métalliques","Fabrication de fibres de verre","23.14Z"
"174","Industrie manufacturières","Fabrication d'autres produits minéraux non métalliques","Fabrication et façonnage d'autres articles en verre, y compris verre technique","23.19Z"
"175","Industrie manufacturières","Fabrication d'autres produits minéraux non métalliques","Fabrication de produits réfractaires","23.20Z"
"176","Industrie manufacturières","Fabrication d'autres produits minéraux non métalliques","Fabrication de carreaux en céramique","23.31Z"
"177","Industrie manufacturières","Fabrication d'autres produits minéraux non métalliques","Fabrication de briques, tuiles et produits de construction, en terre cuite","23.32Z"
"178","Industrie manufacturières","Fabrication d'autres produits minéraux non métalliques","Fabrication d'articles céramiques à usage domestique ou ornemental","23.41Z"
"179","Industrie manufacturières","Fabrication d'autres produits minéraux non métalliques","Fabrication d'appareils sanitaires en céramique","23.42Z"
"180","Industrie manufacturières","Fabrication d'autres produits minéraux non métalliques","Fabrication d'isolateurs et pièces isolantes en céramique","23.43Z"
"181","Industrie manufacturières","Fabrication d'autres produits minéraux non métalliques","Fabrication d'autres produits céramiques à usage technique","23.44Z"
"182","Industrie manufacturières","Fabrication d'autres produits minéraux non métalliques","Fabrication d'autres produits céramiques","23.49Z"
"183","Industrie manufacturières","Fabrication d'autres produits minéraux non métalliques","Fabrication de ciment","23.51Z"
"184","Industrie manufacturières","Fabrication d'autres produits minéraux non métalliques","Fabrication de chaux et plâtre","23.52Z"
"185","Industrie manufacturières","Fabrication d'autres produits minéraux non métalliques","Fabrication d'éléments en béton pour la construction","23.61Z"
"186","Industrie manufacturières","Fabrication d'autres produits minéraux non métalliques","Fabrication d'éléments en plâtre pour la construction","23.62Z"
"187","Industrie manufacturières","Fabrication d'autres produits minéraux non métalliques","Fabrication de béton prêt à l'emploi","23.63Z"
"188","Industrie manufacturières","Fabrication d'autres produits minéraux non métalliques","Fabrication de mortiers et bétons secs","23.64Z"
"189","Industrie manufacturières","Fabrication d'autres produits minéraux non métalliques","Fabrication d'ouvrages en fibre-ciment","23.65Z"
"190","Industrie manufacturières","Fabrication d'autres produits minéraux non métalliques","Fabrication d'autres ouvrages en béton, en ciment ou en plâtre","23.69Z"
"191","Industrie manufacturières","Fabrication d'autres produits minéraux non métalliques","Taille, façonnage et finissage de pierres","23.70Z"
"192","Industrie manufacturières","Fabrication d'autres produits minéraux non métalliques","Fabrication de produits abrasifs","23.91Z"
"193","Industrie manufacturières","Fabrication d'autres produits minéraux non métalliques","Fabrication d'autres produits minéraux non métalliques n.c.a.","23.99Z"
"194","Industrie manufacturières","Métallurgie","Sidérurgie","24.10Z"
"195","Industrie manufacturières","Métallurgie","Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier ","24.20Z"
"196","Industrie manufacturières","Métallurgie","Étirage à froid de barres","24.31Z"
"197","Industrie manufacturières","Métallurgie","Laminage à froid de feuillards","24.32Z"
"198","Industrie manufacturières","Métallurgie","Profilage à froid par formage ou pliage","24.33Z"
"199","Industrie manufacturières","Métallurgie","Tréfilage à froid","24.34Z"
"200","Industrie manufacturières","Métallurgie","Production de métaux précieux","24.41Z"
"201","Industrie manufacturières","Métallurgie","Métallurgie de l'aluminium","24.42Z"
"202","Industrie manufacturières","Métallurgie","Métallurgie du plomb, du zinc ou de l'étain","24.43Z"
"203","Industrie manufacturières","Métallurgie","Métallurgie du cuivre","24.44Z"
"204","Industrie manufacturières","Métallurgie","Métallurgie des autres métaux non ferreux","24.45Z"
"205","Industrie manufacturières","Métallurgie","Élaboration et transformation de matières nucléaires","24.46Z"
"206","Industrie manufacturières","Métallurgie","Fonderie de fonte","24.51Z"
"207","Industrie manufacturières","Métallurgie","Fonderie d'acier","24.52Z"
"208","Industrie manufacturières","Métallurgie","Fonderie de métaux légers","24.53Z"
"209","Industrie manufacturières","Métallurgie","Fonderie d'autres métaux non ferreux","24.54Z"
"210","Industrie manufacturières","Fabrication de produits métalliques, à l'exception des machines et des équipements","Fabrication de structures métalliques et de parties de structures","25.11Z"
"211","Industrie manufacturières","Fabrication de produits métalliques, à l'exception des machines et des équipements","Fabrication de portes et fenêtres en métal","25.12Z"
"212","Industrie manufacturières","Fabrication de produits métalliques, à l'exception des machines et des équipements","Fabrication de radiateurs et de chaudières pour le chauffage central","25.21Z"
"213","Industrie manufacturières","Fabrication de produits métalliques, à l'exception des machines et des équipements","Fabrication d'autres réservoirs, citernes et conteneurs métalliques","25.29Z"
"214","Industrie manufacturières","Fabrication de produits métalliques, à l'exception des machines et des équipements","Fabrication de générateurs de vapeur, à l'exception des chaudières pour le chauffage central","25.30Z"
"215","Industrie manufacturières","Fabrication de produits métalliques, à l'exception des machines et des équipements","Fabrication d'armes et de munitions","25.40Z"
"216","Industrie manufacturières","Fabrication de produits métalliques, à l'exception des machines et des équipements","Forge, estampage, matriçage ; Métallurgie des poudres","25.50A"
"217","Industrie manufacturières","Fabrication de produits métalliques, à l'exception des machines et des équipements","Découpage, emboutissage","25.50B"
"218","Industrie manufacturières","Fabrication de produits métalliques, à l'exception des machines et des équipements","Traitement et revêtement des métaux","25.61Z"
"219","Industrie manufacturières","Fabrication de produits métalliques, à l'exception des machines et des équipements","Décolletage","25.62A"
"220","Industrie manufacturières","Fabrication de produits métalliques, à l'exception des machines et des équipements","Mécanique industrielle","25.62B"
"221","Industrie manufacturières","Fabrication de produits métalliques, à l'exception des machines et des équipements","Fabrication de coutellerie","25.71Z"
"222","Industrie manufacturières","Fabrication de produits métalliques, à l'exception des machines et des équipements","Fabrication de serrures et de ferrures","25.72Z"
"223","Industrie manufacturières","Fabrication de produits métalliques, à l'exception des machines et des équipements","Fabrication de moules et modèles","25.73A"
"224","Industrie manufacturières","Fabrication de produits métalliques, à l'exception des machines et des équipements","Fabrication d'autres outillages","25.73B"
"225","Industrie manufacturières","Fabrication de produits métalliques, à l'exception des machines et des équipements","Fabrication de fûts et emballages métalliques similaires","25.91Z"
"226","Industrie manufacturières","Fabrication de produits métalliques, à l'exception des machines et des équipements","Fabrication d'emballages métalliques légers","25.92Z"
"227","Industrie manufacturières","Fabrication de produits métalliques, à l'exception des machines et des équipements","Fabrication d'articles en fils métalliques, de chaînes et de ressorts","25.93Z"
"228","Industrie manufacturières","Fabrication de produits métalliques, à l'exception des machines et des équipements","Fabrication de vis et de boulons","25.94Z"
"229","Industrie manufacturières","Fabrication de produits métalliques, à l'exception des machines et des équipements","Fabrication d'articles métalliques ménagers","25.99A"
"230","Industrie manufacturières","Fabrication de produits métalliques, à l'exception des machines et des équipements","Fabrication d'autres articles métalliques","25.99B"
"231","Industrie manufacturières","Fabrication de produits informatiques, électronique et optiques","Fabrication de composants électroniques","26.11Z"
"232","Industrie manufacturières","Fabrication de produits informatiques, électronique et optiques","Fabrication de cartes électroniques assemblées","26.12Z"
"233","Industrie manufacturières","Fabrication de produits informatiques, électronique et optiques","Fabrication d'ordinateurs et d'équipements périphériques","26.20Z"
"234","Industrie manufacturières","Fabrication de produits informatiques, électronique et optiques","Fabrication d'équipements de communication ","26.30Z"
"235","Industrie manufacturières","Fabrication de produits informatiques, électronique et optiques","Fabrication de produits électroniques grand public","26.40Z"
"236","Industrie manufacturières","Fabrication de produits informatiques, électronique et optiques","Fabrication d'équipements d'aide à la navigation","26.51A"
"237","Industrie manufacturières","Fabrication de produits informatiques, électronique et optiques","Fabrication d'instrumentation scientifique et technique","26.51B"
"238","Industrie manufacturières","Fabrication de produits informatiques, électronique et optiques","Horlogerie","26.52Z"
"239","Industrie manufacturières","Fabrication de produits informatiques, électronique et optiques","Fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques ","26.60Z"
"240","Industrie manufacturières","Fabrication de produits informatiques, électronique et optiques","Fabrication de matériels optique et photographique","26.70Z"
"241","Industrie manufacturières","Fabrication de produits informatiques, électronique et optiques","Fabrication de supports magnétiques et optiques","26.80Z"
"242","Industrie manufacturières","Fabrication d'équipements électriques","Fabrication de moteurs, génératrices et transformateurs électriques","27.11Z"
"243","Industrie manufacturières","Fabrication d'équipements électriques","Fabrication de matériel de distribution et de commande électrique","27.12Z"
"244","Industrie manufacturières","Fabrication d'équipements électriques","Fabrication de piles et d'accumulateurs électriques","27.20Z"
"245","Industrie manufacturières","Fabrication d'équipements électriques","Fabrication de câbles de fibres optiques","27.31Z"
"246","Industrie manufacturières","Fabrication d'équipements électriques","Fabrication d'autres fils et câbles électroniques ou électriques","27.32Z"
"247","Industrie manufacturières","Fabrication d'équipements électriques","Fabrication de matériel d'installation électrique","27.33Z"
"248","Industrie manufacturières","Fabrication d'équipements électriques","Fabrication d'appareils d'éclairage électrique","27.40Z"
"249","Industrie manufacturières","Fabrication d'équipements électriques","Fabrication d'appareils électroménagers","27.51Z"
"250","Industrie manufacturières","Fabrication d'équipements électriques","Fabrication d'appareils ménagers non électriques","27.52Z"
"251","Industrie manufacturières","Fabrication d'équipements électriques","Fabrication d'autres matériels électriques","27.90Z"
"252","Industrie manufacturières","Fabrication de machines et équipements N.C.A","Fabrication de moteurs et turbines, à l'exception des moteurs d’avions et de véhicules","28.11Z"
"253","Industrie manufacturières","Fabrication de machines et équipements N.C.A","Fabrication d'équipements hydrauliques et pneumatiques","28.12Z"
"254","Industrie manufacturières","Fabrication de machines et équipements N.C.A","Fabrication d'autres pompes et compresseurs","28.13Z"
"255","Industrie manufacturières","Fabrication de machines et équipements N.C.A","Fabrication d'autres articles de robinetterie","28.14Z"
"256","Industrie manufacturières","Fabrication de machines et équipements N.C.A","Fabrication d'engrenages et d'organes mécaniques de transmission","28.15Z"
"257","Industrie manufacturières","Fabrication de machines et équipements N.C.A","Fabrication de fours et brûleurs","28.21Z"
"258","Industrie manufacturières","Fabrication de machines et équipements N.C.A","Fabrication de matériel de levage et de manutention","28.22Z"
"259","Industrie manufacturières","Fabrication de machines et équipements N.C.A","Fabrication de machines et d'équipements de bureau (à l'exception des ordinateurs et équipements périphériques)","28.23Z"
"260","Industrie manufacturières","Fabrication de machines et équipements N.C.A","Fabrication d'outillage portatif à moteur incorporé","28.24Z"
"261","Industrie manufacturières","Fabrication de machines et équipements N.C.A","Fabrication d'équipements aérauliques et frigorifiques industriels","28.25Z"
